Setting_Name,Category,New_Category,Owner,Default,New_Description,Description
EMAIL_NEW_USER_BODY,Email Configuration,,Admin,,,"This setting allows the administrator to set the body of the email that is sent to users when a new user is created. Special tokens that can be inserted in email are $User ID, $PASSWORD, $URL.  These tokens will be substituted with the actual values."
EMAIL_NEW_USER_SUBJECT,Email Configuration,,Admin,,,This setting allows the administrator to set the subject for the new user email.
EMAIL_NO_REJECT_LINK,Email Configuration,,Admin,`FALSE`,,True or False - Include link to Reject in email that goes out to approver. Default FALSE
EMAIL_OPEN_PO_INCLUDE_DOMAINS,Email Configuration,,,`*`,,
EMAIL_OPEN_PO_INCLUDE_TYPES,Email Configuration,,,"`!Inventory,*`",,
EMAIL_OPEN_PO_INCLUDE_USERS,Email Configuration,,,`*`,,
EMAIL_OPEN_PO_REMINDER_SUBJECT,Email Configuration,,,`Open POs in IPurchase`,,
EMAIL_OPEN_PO_REMINDER_TEXT,Email Configuration,,,`Below is a list of your open purchase orders`,,
EMAIL_PASSWORD_CHANGE_BODY,Email Configuration,,Admin,,,This setting allows the administrator to set the body of an email when the administrator changes a password.  Special token is $PASSWORD.
EMAIL_PASSWORD_CHANGE_SUBJECT,Email Configuration,,Admin,,,This setting allows the administrator to set the subject for the password change email.
EMAIL_PO_ADDITIONAL,Email Configuration,,Purchasing,,,Comma-separated email addresses. Additional recipients for purchase order emails beyond default recipients.
EMAIL_PO_BODY,Email Configuration,,Admin,`This should be line one. <br><br>,,Allows the administrator to create a custom email body for new PO.
EMAIL_PO_BODY_REVISION,Email Configuration,,Admin,,,Allows the administrator to create a custom email body for PO revision emails.
EMAIL_PO_INCLUDE_SIG,Email Configuration,,Purchasing,`TRUE`,,This setting includes the buyer's contact information for emails automatically sent to suppliers when PO is created. It also includes logged in user's contact information in emails which are manually sent through iPurchase.
EMAIL_PO_LOGO,Email Configuration,,Admin,,,Image URL or file path. Company logo displayed in purchase order emails.
EMAIL_PO_RECEIPTS,Email Configuration,,Purchasing,`FALSE`,,"TRUE | FALSE. If TRUE, sends email receipts/confirmations when purchase orders are created or modified."
EMAIL_PO_TO_FINAL_APPROVER,Email Configuration,,Admin,`FALSE`,,"TRUE | FALSE. If TRUE, sends PO creation notification to the final approver on the requisition."
EMAIL_PURGE_DAYS,Email Configuration,,Admin,`30`,,How often iPurchase will purge emails that have error-ed . Value is in days.
EMAIL_REGISTRATIONS,Email Configuration,,Admin,,,Email addresses (comma-separated). Recipients of new user registration notifications.
EMAIL_REPLY_TO,Email Configuration,,Admin,,,"Email address. Reply-to address used in system-generated emails. If blank, uses FROM address."
EMAIL_REQ_BODY_MIN,Email Configuration,,Admin,`FALSE`,,"When this is TRUE, only the supplier's number and name along with the cost of the requisition are embedded in the email. If the requisition is a change order, then the words ""Change Order"" will also appear. This requires NO_EMAIL_REQ_BODY set to false, otherwise EMAIL_REQ_BODY_MIN will have no affect."
EMAIL_SUPPLIER_ATTACH_FILES,Email Configuration,,Admin,`FALSE`,,This setting determines whether attachments are added to the email that will go to the supplier when the requisition is approved.
EMAIL_SUPPLIER_ATTACH_LINKS,Email Configuration,,Admin,`FALSE`,,This setting determines whether attachments to a requisition are sent to the supplier as links in the email.
EMAIL_SUPPLIER_BLANKET_PO,Email Configuration,,Purchasing,`FALSE`,,This setting determines whether or not an email is automatically sent to a supplier when the blanket order requisition is approved.
EMAIL_SUPPLIER_CONFIRMATION_LINK,Email Configuration,,Purchasing,`FALSE`,,Determines if confirmation link is included in the PO email that is automatically sent to the supplier. It will also determine if the 'Include Confirmation Link' is displayed as an option on the manual 'Email PO' form in the requisition workbench.
EMAIL_SUPPLIER_CONFIRMATION_REMINDER_TEXT,Email Configuration,,Purchasing,,,Custom text included in supplier confirmation reminder emails.
EMAIL_SUPPLIER_CONFIRMATION_TEXT,Email Configuration,,Purchasing,,,"This is the text that is to be inserted above the link which is included in the supplier email PO program. The default is ""Please click the link to confirm acceptance of the Purchase Order""."
EMAIL_SUPPLIER_PO,Email Configuration,,Purchasing,`TRUE`,"Controls whether PO emails are automatically sent to suppliers upon approval. Set to TRUE (default) to auto-email, FALSE to require manual sending. Requires valid supplier email and EMAILSERVER configuration.",This setting determines whether or not an email is automatically sent to a supplier when the requisition is approved.
EMAIL_SUPPLIER_PO_CC,Email Configuration,,Power Users,"`$xxreq_buyer,$xxreq_obo,$xxreq_userid`",,"This is a list of email address(s) of whom to carbon copy the supplier email to when the PO is created.  A value of ""BUYER"" will copy the associated buyer which is set on the requisition. If a user is included in this setting and has OOF turned on, their delegate will receive a carbon copy of the supplier email. The administrator can also add static email addresses to this setting or use these other values: $xxreq_buyer = Buyer $xxreq_User ID = Originator $xxreq_obo = On Behalf Of $xxreq_deliver_to = Deliver To"
EMAIL_SUPPLIER_PO_FROM,Email Configuration,,Power Users,`$xxreq_buyer`,,"This is the email address to be used as the ""From"" field on the email. This can be a static email address or one of $xxreq_buyer, $xxreq_User ID, $xxreq_obo. If this field is left blank then the setting ""EMAILSFROM"" is used."
EMAIL_SUPPLIER_PO_SUBJECT,Email Configuration,,Purchasing,`New Purchase Order  - $NBR`,,"This text will be used as the subject of the email going to the supplier. If you'd like the PO number(s) to appear in the subject, add the text ""$NBR"" without the quotes in the position that you want the PO number to appear."
EMAIL_SUPPLIER_PO_SUBJECT_PUNCHOUT,Email Configuration,,Purchasing,`Punchout Purchase Order - $NBR`,,"This text will be used as the subject of the email going to the supplier. If you'd like the PO number(s) to appear in the subject, add the text ""$NBR"" without the quotes in the position that you want the PO number to appear."
EMAIL_SUPPLIER_PO_SUBJECT_REVISION,Email Configuration,,Purchasing,`Purchase Order Revision - $NBR`,,"This text will be used as the subject of the email going to the supplier. If you'd like the PO number(s) to appear in the subject, add the text ""$NBR"" without the quotes in the position that you want the PO number to appear."
INTERNAL_URL,Email Configuration,,Admin,,,Internal network URL for application. Used when APPLICATION_URL/BASE_URL are external-facing.
LOGIN_HIDE_EMAIL_HELPDESK,Email Configuration,,Admin,,,Hide the Email Helpdesk link on the login screen
NEW_PO_EMAIL_RECEIPTS,Email Configuration,,Purchasing,"`no,no`",,"This setting determines if delivery receipts and read receipts are requested from the recipient's mail server when the email which includes the new PO attached is sent. To turn off this functionality set this value to ""no,no"" without the quotes. This is a two part setting comma-separated, no spaces around comma. The first part is a yes or no value indicating whether or not to ask for a delivery receipt. The second part is also yes or no indicating whether or not to ask for a delivery receipt. This setting can't be left blank."
NO_CHANGE_EMAIL,Email Configuration,,Power Users,`FALSE`,,"If an approver changes a requisition and this is set to true, then the originator will not be notified."
NO_EMAILS,Email Configuration,,Admin,`FALSE`,,A value of True will turn off email functionality. A value of False will turn on email functionality.
NO_EMAIL_REQ_BODY,Email Configuration,,Power Users,`FALSE`,,Do not include the requisition print in emails. Only includes the text.
NO_PO_EMAIL,Email Configuration,,ISS,,,Technical - Do Not Modify without consulting ISS
PO_DO_NOT_EMAIL,Email Configuration,,Power Users,`FALSE`,,If set to true the PO will not be emailed.
RECEIPT_EMAIL_MESSAGE,Email Configuration,,Purchasing,,,Custom message text for receipt notification emails.
RECEIPT_EMAIL_REQ_TYPES,Email Configuration,,Purchasing,,,Comma-separated req types. Types that trigger receipt emails.
RECEIPT_EMAIL_SUBJECT,Email Configuration,,Purchasing,`Receipt Notification`,,Email subject for receipt notifications.
RECEIPT_EMAIL_TO,Email Configuration,,Purchasing,,,Email addresses for receipt notifications.
RECEIPT_EMAIL_USERS,Email Configuration,,Purchasing,,,Can-Do list. Users who receive receipt notification emails.
REMOVE_NEEDED_BY_FROM_EMAILS,Email Configuration,,Power Users,`FALSE`,,Show 'Needed By 99/99/9999' in the approval email subject.
AUTO_COMMENTS_BUYER,Purchase Orders,,Power Users,,,"Use this setting to automatically attach comments to every Purchase Order when a particular buyer or bill to or ship to or site or line site is used. This is a pointer to the code_mstr field name (code_fldname) value to be used. You can also use the prefix ""LIST:"" followed by a comma-separated list of values. This will tell iPurchase that the specified list is to be used. Example: List:Buyer1:MC1^REF1^Type1^Lang1^Page1| MC2^REF1^Type1^Lang1^Page2, Buyer2:MC2^REF1^Type1^Lang1^Page1 The list is as follows; It must begin with the literal ""LIST:"". Next is a comma-separated list of buyer User IDs. Each User ID can have one or more associated master comment pointers. After the User ID add a colon (:) followed by the master comment reference. The reference is made up of four fields carat (^) delimited. Entry 1 is the reference, entry 2 is the type, entry 3 is the language, entry 4 is the page number. To add multiple master comment references for a given buyer, separate them by a pipe (|). When using AUTO_COMMENTS_OTHER, ignore the ""LIST:BUYER1"" parts of the field. Only add the pipe separated reference to the master comments. Ex: REF1^Type1^Lang1^Page1| REF1^Type1^Lang1^Page2| REF1^Type1^Lang1^Page1 The Type, Lang, and Page options are all optional. This is also valid. List:Buyer1:MC1 | MC2, Buyer2:MC2"
AUTO_COMMENTS_CO,Purchase Orders,,Power Users,,,"Use this setting to automatically attach comments to every Purchase Order REVISION - CHANGE ORDER. This is a pointer to the code_mstr field name (code_fldname) value to be used. Example: List:Buyer1:MC1^REF1^Type1^Lang1^Page1| MC2^REF1^Type1^Lang1^Page2, Buyer2:MC2^REF1^Type1^Lang1^Page1 Ex: REF1^Type1^Lang1^Page1| REF1^Type1^Lang1^Page2| REF1^Type1^Lang1^Page1 The Type, Lang, and Page options are all optional."
AUTO_COMMENTS_LINE_SITE,Purchase Orders,,Power Users,,,"Use this setting to automatically attach comments to every Purchase Order when a particular buyer or bill to or ship to or site or line site is used. This is a pointer to the code_mstr field name (code_fldname) value to be used. You can also use the prefix ""LIST:"" followed by a comma-separated list of values. This will tell iPurchase that the specified list is to be used. Example: List:Buyer1:MC1^REF1^Type1^Lang1^Page1| MC2^REF1^Type1^Lang1^Page2, Buyer2:MC2^REF1^Type1^Lang1^Page1 The list is as follows; It must begin with the literal ""LIST:"". Next is a comma-separated list of buyer User IDs. Each User ID can have one or more associated master comment pointers. After the User ID add a colon (:) followed by the master comment reference. The reference is made up of four fields carat (^) delimited. Entry 1 is the reference, entry 2 is the type, entry 3 is the language, entry 4 is the page number. To add multiple master comment references for a given buyer, separate them by a pipe (|). When using AUTO_COMMENTS_OTHER, ignore the ""LIST:BUYER1"" parts of the field. Only add the pipe separated reference to the master comments. Ex: REF1^Type1^Lang1^Page1| REF1^Type1^Lang1^Page2| REF1^Type1^Lang1^Page1 The Type, Lang, and Page options are all optional. This is also valid. List:Buyer1:MC1 | MC2, Buyer2:MC2"
AUTO_COMMENTS_OTHER,Purchase Orders,,Power Users,,,"Use this setting to automatically attach comments to every Purchase Order when a particular buyer or bill to or ship to or site or line site is used. This is a pointer to the code_mstr field name (code_fldname) value to be used. You can also use the prefix ""LIST:"" followed by a comma-separated list of values. This will tell iPurchase that the specified list is to be used. Example: List:Buyer1:MC1^REF1^Type1^Lang1^Page1| MC2^REF1^Type1^Lang1^Page2, Buyer2:MC2^REF1^Type1^Lang1^Page1 The list is as follows; It must begin with the literal ""LIST:"". Next is a comma-separated list of buyer User IDs. Each User ID can have one or more associated master comment pointers. After the User ID add a colon (:) followed by the master comment reference. The reference is made up of four fields carat (^) delimited. Entry 1 is the reference, entry 2 is the type, entry 3 is the language, entry 4 is the page number. To add multiple master comment references for a given buyer, separate them by a pipe (|). When using AUTO_COMMENTS_OTHER, ignore the ""LIST:BUYER1"" parts of the field. Only add the pipe separated reference to the master comments. Ex: REF1^Type1^Lang1^Page1| REF1^Type1^Lang1^Page2| REF1^Type1^Lang1^Page1 The Type, Lang, and Page options are all optional. This is also valid. List:Buyer1:MC1 | MC2, Buyer2:MC2"
BATCH_CREATE_PO_GROUPS,Purchase Orders,,Admin,`buyers`,,"Comma Separated list of User ID's or Group ID's that can convert an approved requisition into a PO (only when PO is not created automatically upon final approval) Thios setting also controls if a user or group is allowed to create consolidated PO's . Asterisk indicates everyone, a blank indicates no one."
BLANKET_SEND_PO,Purchase Orders,,Purchasing,`FALSE`,,If set to true the PO will be emailed.
BUYER_MOD,Purchase Orders,,Purchasing,`FALSE`,,"TRUE | FALSE. If TRUE, allows the buyer field to be modified during requisition copy and PO creation. If FALSE, buyer field is locked."
CATALOG_PO_DIFFERENCE,Purchase Orders,,Power Users,`Lowest`,,"Possible Values: Blank, Punchout, Catalog, Lowest.  During a punchout, if an item ordered via a punchout site also exists in the catalog, do you want to use the Catalog's price rather than the price returned from the punchout?"
CLOSE_PO,Purchase Orders,,Admin,`buyers`,,"Comma Separated list of User ID's or Group ID's that will have the ability to close PO  or  PO line on Purchase order.  Either Line or whole PO can be closed. Close or canceled depends on Receipts. Asterisk indicates everyone, a blank indicates no one."
CO_UPDATE_ORDER_DATE,Purchase Orders,,Purchasing,`FALSE`,,Update the order date on the change order PO to today's date
DEFAULT_BUYER,Purchase Orders,,Purchasing,,"Default buyer assigned to new requisitions. Can be overridden by vendor, site, or requisition type specific settings.","This is the userid of the default buyer to be used on all new requisitions. This can be overridden by DEFAULT_BUYER_[SITE], RT_[REQ_TYPE]_DEFAULT_BUYER, RT_[REQ_TYPE]_[SITE]_DEFAULT_BUYER, and vd_buyer"
DEFAULT_BUYER_[SITE],Purchase Orders,,Purchasing,,,"This is the userid of the default buyer for the specified site, used on all new requisitions. See DEFAULT_BUYER"
DEFAULT_SHIPTO,Purchase Orders,,Power Users,,,"In this setting the administrator can set the default value for ""Ship To"" field."
DEFAULT_SHIPVIA,Purchase Orders,,Purchasing,,,"In this setting the administrator can set the default value for ""Ship Via"" field."
DEFAULT_SITE,Purchase Orders,,Admin,,,"In this setting the administrator can set the default value for the ""Site"" field. Must be a valid site."
FIRST_PO_NUMBER,Purchase Orders,,Purchasing,`1`,,Numeric. Starting purchase order number for sequential PO numbering.
MC_BEFORE_NOTES,Purchase Orders,,Purchasing,`FALSE`,,"TRUE | FALSE. If TRUE, places master comments before line notes on PO."
NO_PO_PP,Purchase Orders,,ISS,,,Technical - Do Not Modify without consulting ISS
PO_BLANKET_PRINT_PROGRAM,Purchase Orders,,Admin,`us/po/poblrp03.p`,,"QAD program name which prints blankets, should not be modified."
PO_BREAK_BY,Purchase Orders,,Power Users,`xxreqd_vendor`,,"Comma separated list of fields on a requisition that will be used to split the requisition into multiple PO's. Or Comma separated list of fields on a requisition that will be used to consolidate PO's from multiple requisitions. Ex: xxreqd_vendor,xxreq_site"
PO_CONFIRMATION_RESPONSE,Purchase Orders,,Power Users,,,Message to display to the supplier when the supplier confirms receipt of the PO by clicking on the Confirm Receipt link in their email message.
PO_DO_NOT_PRINT,Purchase Orders,,Power Users,`FALSE`,,Does not print the PO when requisition is approved.
PO_LOGO,Purchase Orders,,Admin,,,"The value of this setting is a path to the physical file name on the app server. Ex. "" or apps or iPurchase or logo or frank.jpg"". If the logo is in the wdm or agents folder then you only need to put filename not path. Ex. ""logo.jpg"". The PO Logo will be placed in the top left hand corner of the purchase order if using the GRAPHICAL PO_PRINT_PDF_FORMAT"
PO_LOGO_[po_bill],Purchase Orders,,Admin,,,"This setting allows the administrator to enter a PO Logo based on the PO Bill To Field. The value of this setting is a path to the physical file name on the app server. Ex. "" or apps or iPurchase or logo or frank.jpg"". If the logo is in the wdm or agents folder then you only need to put filename not path. Ex. ""frank.jpg"". The PO Logo will be placed in the top left hand corner of the purchase order."
PO_NBR_USE_QAD,Purchase Orders,,Purchasing,`FALSE`,,"TRUE | FALSE. If TRUE, uses QAD system for PO number generation."
PO_PREFIX,Purchase Orders,,Purchasing,,,"Prefix added to purchase order numbers (e.g., PO- results in PO-12345)."
PO_PREFIX_FIELD,Purchase Orders,,entities,,,Can be either 'Entity' or any fields on the requisition header table. This will allow you to create different prefix or number scheme for different sites
PO_PRINTER,Purchase Orders,,Admin,,,"Printer name defined in QAD. If you're using Optio, Jetforms, Pics, etc, to print graphical purchase orders, enter the name of the printer here, otherwise leave blank."
PO_PRINTER_BATCH_NAME,Purchase Orders,,Admin,`QADSVC`,,"This setting allows the administrator to set the Queue that the report will be processed on.  ex: ""POPrint"" QAD EE 2012 and above allows the ability to print fancy purchase orders. Requirements: Names QAD user. Settings QAD_AUTHENTICATION_USER and QAD_AUTHENTICATION_PASSWORD must be set. The user specified in QAD_AUTHENTICATION_USER must be setup in QAD with a role of ""rptAdmin"""
PO_PRINTER_OUTPUT_DIRECTORY,Purchase Orders,,Admin,,,"Is a directory on the iPurchase application server where the QAD Reporting Framework will save the file. If you are using Optio, Jetforms, Pics, etc, to print graphical purchase orders, enter the name of the directory where pdf files will be placed by the third-party forms package, otherwise leave blank. QAD EE 2012 and above allows the ability to print fancy purchase orders. Requirements: Names QAD user. Settings QAD_AUTHENTICATION_USER and QAD_AUTHENTICATION_PASSWORD must be set. The user specified in QAD_AUTHENTICATION_USER must be setup in QAD with a role of ""rptAdmin"""
PO_PRINTER_OUTPUT_DIRECTORY_BLANKET,Purchase Orders,,Purchasing,,,Directory path. Output folder for blanket purchase order print files.
PO_PRINTER_REPORT_CODE,Purchase Orders,,Admin,`PurchaseOrderPrint `,,"This setting holds the report code for the print version you are using. ex: Custom_PurchaseOrderPrint. QAD EE 2012 and above allows the ability to print fancy purchase orders. Requirements: Names QAD user. Settings QAD_AUTHENTICATION_USER and QAD_AUTHENTICATION_PASSWORD must be set. The user specified in QAD_AUTHENTICATION_USER must be setup in QAD with a role of ""rptAdmin"""
PO_PRINTER_REPORT_CODE_BLANKET,Purchase Orders,,Purchasing,,,Report code used for printing blanket purchase orders.
PO_PRINTER_SERVER_XML,Purchase Orders,,Admin,,,"This setting points iPurchase to PO printer server configuration file. ex:  or apps or test or qdt or envs or test or configs or server.xml QAD EE 2012 and above allows the ability to print fancy purchase orders. Requirements: Names QAD user. Settings QAD_AUTHENTICATION_USER and QAD_AUTHENTICATION_PASSWORD must be set. The user specified in QAD_AUTHENTICATION_USER must be setup in QAD with a role of ""rptAdmin"""
PO_PRINT_ARCHIVE_DIR,Purchase Orders,,Admin,,,Directory on application server. Enter the path to a directory on the application server where all purchase orders will be saved to when printing a revision through iPurchase for the first time. This keeps an archive of physical purchase orders.
PO_PRINT_ARCHIVE_IN_DB,Purchase Orders,,Admin,`TRUE`,,Store Purchase Order PDF files in database. A setting of true will display a clock icon next to Purchase Order numbers in iPurchase. Clicking the clock icon will display a list of all original prints for the given Purchase Order.
PO_PRINT_DOMAIN_IN_FN,Purchase Orders,,ISS,,,Technical - Do Not Modify without consulting ISS
PO_PRINT_OFFLINE,Purchase Orders,,Admin,`FALSE`,,"This setting will control when the New PO Created email and original PO Print occur. A value of FALSE, the default, will print the PO and send the email as soon as the Purchase Order is created. Most of the time this happens when the final approver clicks the Approve button. However, a value of TRUE, will delay the printing of the PO and the email to the buyer or supplier by queuing up this request in the iPurchase jobs. You would set this to true when you want increased perceived performance so that the final approver doesn't need to wait for this action to be completed. YOU ARE REQUIRED TO SET THIS TO TRUE IF YOU ARE USING THE QAD REPORTING FRAMEWORK. *QAD EE Only"
PO_PRINT_PDF_FORMAT,Purchase Orders,,Power Users,`PLAIN`,,Prints the POs using the built in iPurchase look. Valid choices are GRAPHICAL and PLAIN. A value of PLAIN will simply take the text based QAD output and convert it to PDF.
PO_PRINT_PROGRAM,Purchase Orders,,Admin,`us/po/poporp03.p`,,Progress program If you have a custom purchase order print program then enter the Progress program name here.
PO_PRINT_SORT,Purchase Orders,,Purchasing,`LINE`,,This setting determines the value which will be used to sort the Purchase Order on the PO Print screen.
PO_SIGNATURE,Purchase Orders,,Admin,,,"The value of this setting is a path to the physical file name on the app server. Ex "" or apps or iPurchase or signatures or frank.jpg"". If the signature is in the wdm or agents folder then you only need to put filename not path. Ex ""frank.jpg""."
PO_SIGNATURE_BUYER_[buyercode],Purchase Orders,,Admin,,,"This setting allows the administrator to enter a buyers signature based on the buyer's code. The value of this setting is a path to the physical file name on the app server. Ex "" or apps or iPurchase or signatures or frank.jpg"". If the signature is in the wdm or agents folder then you only need to put filename not path. Ex ""frank.jpg"". The signature file should be 250x60 pixels."
PO_SIGNATURE_BUYER_[domain code],Purchase Orders,,Admin,,,"This setting allows the administrator to enter a buyers signature based on the domain in the buyer user record The value of this setting is a path to the physical file name on the app server. Ex "" or apps or iPurchase or signatures or frank.jpg"". If the signature is in the wdm or agents folder then you only need to put filename not path. Ex ""frank.jpg"". The signature file should be 250x60 pixels."
PO_SIGNATURE_BUYER_[domain code]_[site code],Purchase Orders,,Admin,,,"This setting allows the administrator to enter a buyers signature based on the domain and the site of the buyer user record The value of this setting is a path to the physical file name on the app server. Ex "" or apps or iPurchase or signatures or frank.jpg"". If the signature is in the wdm or agents folder then you only need to put filename not path. Ex ""frank.jpg"". The signature file should be 250x60 pixels."
PO_SIGNATURE_BUYER_[site_code],Purchase Orders,,Admin,,,"This setting allows the administrator to enter a buyers signature based on the site in the buyer user record The value of this setting is a path to the physical file name on the app server. Ex "" or apps or iPurchase or signatures or frank.jpg"". If the signature is in the wdm or agents folder then you only need to put filename not path. Ex ""frank.jpg"". The signature file should be 250x60 pixels."
PO_SIGNATURE_ON_REPRINT,Purchase Orders,,Power Users,`TRUE`,,This setting allows the administrator to print a signature on a reprint of a Purchase Order.
PO_SIGNATURE_[SITE],Purchase Orders,,Admin,,,"This setting allows for multiple PO signatures based on domain and site. The value of this setting is a path to the physical file name on the app server. Ex "" or apps or iPurchase or signatures or frank.jpg"". If the signature is in the wdm or agents folder then you only need to put filename not path. Ex ""frank.jpg""."
PO_UPDATE_GROUPS,Purchase Orders,,Admin,`$xxreq_buyer`,,"Comma separated list of User ID's or Group ID's that would be allowed to use the Copy or Update PO functionality (Change Order).  For buyer, set to ""$xxreq_buyer"".  Asterisk indicates everyone, a blank indicates no one."
PO_UPDATE_REQ_TYPES,Purchase Orders,,Purchasing,`*`,,"You can control the list of requisition types that will allow a change order, or * for all requisition types."
PO_UPDATE_TOLERANCE_AMOUNT,Purchase Orders,,Admin,`100`,Maximum dollar amount a change order can increase without requiring re-approval. Works with PO_UPDATE_TOLERANCE_PCT - both must be within tolerance. Set to 0 or blank to require re-approval for any increase. Default is 100.,This is the amount that a requisition can be increased by without requiring re-routing the requisition for approval. This is only for those requisitions that are UPDATING a purchase order.
PO_UPDATE_TOLERANCE_PCT,Purchase Orders,,Admin,`10`,Maximum percentage a change order can increase without requiring re-approval. Works with PO_UPDATE_TOLERANCE_AMOUNT - both must be within tolerance. Set to 0 or blank to require re-approval for any percentage increase. Default is 10.,This is the percentage that a requisition can be increased by without requiring re-routing the requisition for approval. This is only for those requisitions that are UPDATING a purchase order.
QX_PO_NAME,Purchase Orders,,,`QADERP`,,Name of the qxtend instance for Purchase Orders in this environment
QX_PO_VERSION,Purchase Orders,,,`eB2_3`,,Version of the qxtend PO method for this environment
REOPEN_PO,Purchase Orders,,Purchasing,`buyers`,,"Comma separated list of User ID's or Group ID's that are allowed to re-open a closed or cancelled PO via a change order. Asterisk indicates everyone, a blank indicates no one."
RT_PO_REQUIRED,Purchase Orders,,Power Users,,,"This setting is a list of requisition types that would set the PO Required field to True or Yes.  For example if you do not require a PO for credit card purchases and CREDIT_CARD is a Requisition Type, then list all the other Requisition Types here. The default is TRUE unless an item appears in this list. The list should be in the format EXPENSE,CAPITAL,TOOLING"
SUPPLIER_PO_ATTACHMENTS,Purchase Orders,,Admin,,,Comma-Separated List of paths and files. This is a list of files which is to be emailed to the supplier as attachments to the Purchase Order.
SUPPLIER_PO_MERGE_ATTACHMENTS,Purchase Orders,,Purchasing,,,"This setting is where the filename, with the full path to the pdf file or a space delimited list of pdf files that are to be merged in to the PO PDF file which is printed. If you're on windows then make sure to install pdf toolkit if not already included in the wdm or agents or 3rdParty folder. If you're on unix, then a ""ghostscript"" is required. Examples of value; If the file is in the agents folder the all the administrator will have to do is place the filename in the value for this setting, example ""attachme.pdf"". If the file is not in the agents folder then you have to put the path to the file as well. On windows an example is ""d:\myfiles\attachme.pdf"" On unix,  or files or attachme.pdf"""
ADD_REQ_NBR_TO_PO,Requisitions,,Purchasing,`FALSE`,,When a PO is created do you want to add the requisition number and line to pod_req and pod_req_line fields. This should be set to False if using 2009SE or above; or if GRS is being used
ALLOW_NEGATIVE_LINE,Requisitions,,Purchasing,,,Can-Do list. Users/groups allowed to enter negative quantities on requisition line items. Normally rejected with error message.
ALLOW_NEW_REQUEST,Requisitions,,Purchasing,,,Can-Do list. Users/groups allowed to create new requisitions. Controls visibility of New Request button in UI.
ALLOW_SAVE_TEMPLATE,Requisitions,,Purchasing,,,Can-Do list. Users/groups allowed to save requisition templates.
AUDIT_XXREQ_MSTR_EXCEPT,Requisitions,,ISS,"`xxreq_cost,xxreq_word_idx,xxreq_word_idx2,xxreq_word_idx3,xxreq_master_comments,xxreq_submit_date,xxreq_submit_attempts,xxreq_submit_date,xxreq_approved,xxreq_app_by,xxreq_submitted`",,Technical - Do Not Modify without consulting ISS
AUTO_REQ_TYPE_DISABLE,Requisitions,,Admin,`FALSE`,,Disable the requisition type field when there is at least one line item on a requisition - DO NOT MODIFY
CODE_LIST_H_XXREQ_UCHAR1,Requisitions,,Admin,"`List:True:Yes,False:No`",,List for User Field 1
CODE_LIST_H_XXREQ_UCHAR2,Requisitions,,Admin,"`List:1:Maybe,2:Maybe Not`",,List for User Field 2
CODE_LIST_H_XXREQ_UCHAR3,Requisitions,,Admin,"`List:Apples:Apples,Bananas:Bananas,Oranges:Oranges`",,List for User Field 3
CODE_LIST_H_XXREQ_UCHAR4,Requisitions,,Admin,"`List:True:True,False:False`",,List for User Field 4
